Experiment	Library_Name	MBases	MBytes	ReleaseDate	Run	Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	SRA_Sample	SRA_Study	Sample_Name	collection_date	dev_stage	geo_loc_name	isolate	sex	tissue
SRX2997707	Bat_400	65633	44556	2017-07-13	SRR5819794	WGS	202	PRJNA283550	SAMN03652541	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2017-07-12	Miniopterus natalensis	ILLUMINA	SRS2348850	SRP111692	Mnat.v1	Oct-2012	adult	South Africa	MN2012-01	male	skeletal muscle
SRX2997706	Bat_800	38733	25755	2017-07-13	SRR5819795	WGS	202	PRJNA283550	SAMN03652541	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2017-07-12	Miniopterus natalensis	ILLUMINA	SRS2348850	SRP111692	Mnat.v1	Oct-2012	adult	South Africa	MN2012-01	male	skeletal muscle
SRX2997705	Bat_8to10kb	18848	12901	2017-07-12	SRR5819796	WGS	202	PRJNA283550	SAMN03652541	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2017-07-12	Miniopterus natalensis	ILLUMINA	SRS2348850	SRP111692	Mnat.v1	Oct-2012	adult	South Africa	MN2012-01	male	skeletal muscle
SRX2997704	Bat_175	43180	28572	2017-07-13	SRR5819797	WGS	202	PRJNA283550	SAMN03652541	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2017-07-12	Miniopterus natalensis	ILLUMINA	SRS2348850	SRP111692	Mnat.v1	Oct-2012	adult	South Africa	MN2012-01	male	skeletal muscle
SRX2997703	Bat_2to4kb	25524	17375	2017-07-12	SRR5819798	WGS	202	PRJNA283550	SAMN03652541	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2017-07-12	Miniopterus natalensis	ILLUMINA	SRS2348850	SRP111692	Mnat.v1	Oct-2012	adult	South Africa	MN2012-01	male	skeletal muscle
SRX2997702	Bat_5to6kb	23937	16122	2017-07-12	SRR5819799	WGS	202	PRJNA283550	SAMN03652541	Model organism or animal	public	sra	ncbi	0	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	2017-07-12	Miniopterus natalensis	ILLUMINA	SRS2348850	SRP111692	Mnat.v1	Oct-2012	adult	South Africa	MN2012-01	male	skeletal muscle
